id,type,name
P19532,Substrate,P19532
P19801,Substrate,P19801
Q8IYK2,Substrate,Q8IYK2
Q9NWC5,Substrate,Q9NWC5
Q9H009,Substrate,Q9H009
Q7Z3B0,Substrate,Q7Z3B0
Q9P2E2,Substrate,Q9P2E2
O15269,Substrate,O15269
Q8NGX9,Substrate,Q8NGX9
Q96CP6,Substrate,Q96CP6
Q3SXP7,Substrate,Q3SXP7
Q96AT9,Substrate,Q96AT9
Q709F0,Substrate,Q709F0
Q8IVE3,Substrate,Q8IVE3
Q07960,Substrate,Q07960
O95841,Substrate,O95841
Q9BX66,Substrate,Q9BX66
Q6FI81,Substrate,Q6FI81
Q96DA6,Substrate,Q96DA6
A6NFR6,Substrate,A6NFR6
Q9UKR8,Substrate,Q9UKR8
Q7M4L6,Substrate,Q7M4L6
P33151,Substrate,P33151
Q04771,Substrate,Q04771
A6NJY1,Substrate,A6NJY1
P0DMW5,Substrate,P0DMW5
P29400,Substrate,P29400
Q8TF65,Substrate,Q8TF65
Q4V348,Substrate,Q4V348
Q9NQV8,Substrate,Q9NQV8
Q9Y5I7,Substrate,Q9Y5I7
Q96PQ5,Substrate,Q96PQ5
O14879,Substrate,O14879
Q5MIZ7,Substrate,Q5MIZ7
Q9NQX3,Substrate,Q9NQX3
Q96B42,Substrate,Q96B42
A6NGB9,Substrate,A6NGB9
Q9UGQ2,Substrate,Q9UGQ2
Q9UHW5,Substrate,Q9UHW5
A6ND01,Substrate,A6ND01
Q8TD07,Substrate,Q8TD07
O75122,Substrate,O75122
Q9BQE5,Substrate,Q9BQE5
Q8TCG1,Substrate,Q8TCG1
Q9NX08,Substrate,Q9NX08
Q8NE09,Substrate,Q8NE09
Q86YD5,Substrate,Q86YD5
Q01085,Substrate,Q01085
Q9BWF3,Substrate,Q9BWF3
P23458,Substrate,P23458
Q9NP80,Substrate,Q9NP80
Q9BWT3,Substrate,Q9BWT3
Q8N4F7,Substrate,Q8N4F7
O14980,Substrate,O14980
P22083,Substrate,P22083
A0A1B0GWB2,Substrate,A0A1B0GWB2
P01112,Substrate,P01112
Q92839,Substrate,Q92839
P47890,Substrate,P47890
Q2VWA4,Substrate,Q2VWA4
Q9BZA8,Substrate,Q9BZA8
Q9Y6I4,Substrate,Q9Y6I4
Q96KT6,Substrate,Q96KT6
Q9BZF3,Substrate,Q9BZF3
Q96RS0,Substrate,Q96RS0
Q5TBB1,Substrate,Q5TBB1
Q8NI99,Substrate,Q8NI99
Q9UIA0,Substrate,Q9UIA0
Q9BZJ6,Substrate,Q9BZJ6
P98171,Substrate,P98171
P22004,Substrate,P22004
Q96JW4,Substrate,Q96JW4
Q6UWY0,Substrate,Q6UWY0
Q71DI3,Substrate,Q71DI3
A0A0C4DH25,Substrate,A0A0C4DH25
Q567U6,Substrate,Q567U6
O15198,Substrate,O15198
A1L390,Substrate,A1L390
P59282,Substrate,P59282
Q8NEP3,Substrate,Q8NEP3
P30793,Substrate,P30793
Q9HCD5,Substrate,Q9HCD5
P54920,Substrate,P54920
O95045,Substrate,O95045
Q5JU00,Substrate,Q5JU00
A6NEL3,Substrate,A6NEL3
P51688,Substrate,P51688
Q96KR1,Substrate,Q96KR1
P24386,Substrate,P24386
O94768,Substrate,O94768
Q7RTM1,Substrate,Q7RTM1
Q8IUD6,E3,Q8IUD6
Q53LP3,Substrate,Q53LP3
Q2TAZ0,Substrate,Q2TAZ0
P23470,Substrate,P23470
O00445,Substrate,O00445
Q16563,Substrate,Q16563
Q9NX70,Substrate,Q9NX70
Q5T686,Substrate,Q5T686
Q5TA82,Substrate,Q5TA82
O60242,Substrate,O60242
Q07011,Substrate,Q07011
Q9UDT6,Substrate,Q9UDT6
O75891,Substrate,O75891
P27816,Substrate,P27816
P08100,Substrate,P08100
P57077,Substrate,P57077
Q8TBZ5,Substrate,Q8TBZ5
Q9ULV8,E3,Q9ULV8
Q08050,Substrate,Q08050
P68133,Substrate,P68133
Q4AC99,Substrate,Q4AC99
Q8N2X6,Substrate,Q8N2X6
Q99613,Substrate,Q99613
Q96T88,E3,Q96T88
Q7L0R7,Substrate,Q7L0R7
Q9BX70,Substrate,Q9BX70
Q9Y2Y6,Substrate,Q9Y2Y6
A0A096LNP1,Substrate,A0A096LNP1
Q8TDW0,Substrate,Q8TDW0
Q6VEQ5,Substrate,Q6VEQ5
Q3SY52,Substrate,Q3SY52
Q13257,Substrate,Q13257
Q86UW7,Substrate,Q86UW7
A6NJQ4,Substrate,A6NJQ4
P27469,Substrate,P27469
P15018,Substrate,P15018
Q96M19,Substrate,Q96M19
O95847,Substrate,O95847
A6NK44,Substrate,A6NK44
P09067,Substrate,P09067
Q8WUD6,Substrate,Q8WUD6
Q8NGC1,Substrate,Q8NGC1
P11844,Substrate,P11844
Q8NA96,Substrate,Q8NA96
P07686,Substrate,P07686
Q6VB84,Substrate,Q6VB84
Q5K651,Substrate,Q5K651
Q9UJT1,Substrate,Q9UJT1
P05109,Substrate,P05109
Q15669,Substrate,Q15669
Q9ULD8,Substrate,Q9ULD8
Q96QD8,Substrate,Q96QD8
Q6ZPB5,Substrate,Q6ZPB5
O43603,Substrate,O43603
A0A0A6YYG2,Substrate,A0A0A6YYG2
Q8WTP8,Substrate,Q8WTP8
