UniProtID	EnsID
P35869	ENSG00000106546.14
Q9C0C7	ENSG00000110497.15
Q9UKV5	ENSG00000159461.15
Q9NYG5	ENSG00000141552.18
Q9UJX6	ENSG00000176248.9
Q9Y4X5	ENSG00000166233.15
O95376	ENSG00000177479.20
Q8WXH4	ENSG00000165192.14
Q9Y575	ENSG00000115239.24
Q9Y574	ENSG00000005981.13
Q9H765	ENSG00000177981.11
Q96DX5	ENSG00000102048.16
O14965	ENSG00000087586.18
Q99728	ENSG00000138376.11
Q9NZS9	ENSG00000103429.11
Q9NZS9	ENSG00000275618.2
Q13490	ENSG00000110330.10
Q13489	ENSG00000023445.17
Q96CA5	ENSG00000101197.13
P35226	ENSG00000168283.14
Q7Z569	ENSG00000089234.16
P38398	ENSG00000012048.26
Q9Y297	ENSG00000166167.18
Q96M02	ENSG00000154493.20
P22681	ENSG00000110395.8
Q13191	ENSG00000114423.23
Q9ULV8	ENSG00000142273.13
Q75N03	ENSG00000105879.13
Q8IX12	ENSG00000060339.14
Q9NPC3	ENSG00000100814.19
Q9NPC3	ENSG00000291784.1
P41002	ENSG00000162063.13
Q12834	ENSG00000117399.14
P49427	ENSG00000099804.9
Q99618	ENSG00000111665.12
P12830	ENSG00000039068.20
Q99675	ENSG00000100532.13
Q96EP1	ENSG00000072609.18
Q9NSE2	ENSG00000114737.16
O95628	ENSG00000080802.21
Q8NHY2	ENSG00000143207.21
Q96SW2	ENSG00000113851.16
Q9Y4B6	ENSG00000145041.17
Q8TEB1	ENSG00000100897.18
Q8TEB1	ENSG00000284796.3
Q5T6F0	ENSG00000198876.13
Q66K64	ENSG00000132017.11
Q66K64	ENSG00000288453.1
Q9NXF7	ENSG00000163257.11
Q8WV16	ENSG00000119599.17
Q5TAQ9	ENSG00000132716.19
Q16531	ENSG00000167986.15
Q92466	ENSG00000134574.12
O95786	ENSG00000107201.12
Q7L5Y6	ENSG00000140543.15
Q9NZJ0	ENSG00000143476.18
Q86Y01	ENSG00000135144.8
Q86UW9	ENSG00000091073.20
Q8N9I9	ENSG00000178498.16
Q8TDB6	ENSG00000163840.10
Q9Y2E6	ENSG00000110042.8
Q92630	ENSG00000127334.11
Q86Y13	ENSG00000198919.13
Q66K89	ENSG00000167967.16
Q8TE67	ENSG00000198758.11
Q13216	ENSG00000049167.16
P00748	ENSG00000131187.11
Q9NW38	ENSG00000115392.13
Q8NFZ0	ENSG00000134452.20
Q9NXK8	ENSG00000127452.9
Q8N1E6	ENSG00000171823.7
Q9H469	ENSG00000107872.14
Q9UF56	ENSG00000145743.18
Q96ME1	ENSG00000155034.21
Q6PCT2	ENSG00000099364.18
Q9UKC9	ENSG00000153558.17
Q6P050	ENSG00000197361.8
Q9UKT7	ENSG00000005812.11
Q9UKA2	ENSG00000112234.9
Q9UKA1	ENSG00000118564.15
Q8N531	ENSG00000182325.11
Q8N531	ENSG00000285442.2
Q9UJT9	ENSG00000183580.10
Q9UK96	ENSG00000147912.13
Q86XK2	ENSG00000138081.22
Q8NCQ5	ENSG00000141665.13
Q9UK22	ENSG00000116661.11
O94952	ENSG00000135108.16
Q8NEZ5	ENSG00000167196.14
Q8TCJ0	ENSG00000147364.17
Q8NI29	ENSG00000161243.10
Q9NVF7	ENSG00000143756.12
Q9UK99	ENSG00000110429.14
Q8TB52	ENSG00000118496.5
Q5XUX0	ENSG00000103264.18
Q969P5	ENSG00000156804.7
Q7Z6M2	ENSG00000165355.8
Q9NWN3	ENSG00000178974.11
Q9UKT5	ENSG00000151876.13
Q9UH90	ENSG00000163833.8
Q6P3S6	ENSG00000037637.11
Q6P3S6	ENSG00000291375.1
Q9H4M3	ENSG00000132879.14
P0C2W1	ENSG00000174013.8
Q9NRD1	ENSG00000116663.11
Q9Y3I1	ENSG00000100225.18
Q9NRD0	ENSG00000164117.14
Q9UK97	ENSG00000112146.17
Q5XX13	ENSG00000171931.13
Q9UKB1	ENSG00000072803.18
Q6X9E4	ENSG00000164049.14
Q9UKT8	ENSG00000119402.18
Q969U6	ENSG00000159069.14
Q969H0	ENSG00000109670.17
Q8N3Y1	ENSG00000174989.14
Q9UM11	ENSG00000105325.15
Q9H2C0	ENSG00000261609.9
Q8IYU2	ENSG00000085382.12
Q9UBN7	ENSG00000094631.22
Q5U5R9	ENSG00000165338.17
Q5T447	ENSG00000126107.15
Q76N89	ENSG00000002746.15
Q9P2P5	ENSG00000138411.13
Q5GLZ8	ENSG00000148634.16
Q9UII4	ENSG00000138646.9
Q14527	ENSG00000071794.16
Q9NRM6	ENSG00000056736.10
Q9UNL4	ENSG00000111653.20
P51617	ENSG00000184216.15
Q9NWZ3	ENSG00000198001.16
Q96J02	ENSG00000078747.17
Q9H3F6	ENSG00000110906.13
Q693B1	ENSG00000213859.8
Q693B1	ENSG00000288399.2
Q8WZ19	ENSG00000174943.11
Q8N5Z5	ENSG00000100379.18
Q9Y2K7	ENSG00000173120.15
Q8NHM5	ENSG00000089094.21
Q14145	ENSG00000079999.14
P21583	ENSG00000049130.16
Q6JEL2	ENSG00000161594.7
Q9NVR0	ENSG00000178502.6
Q53G59	ENSG00000117153.16
Q9P2N7	ENSG00000003096.15
Q96M94	ENSG00000174010.10
Q6TDP4	ENSG00000187961.15
O94889	ENSG00000114648.12
O95198	ENSG00000109466.14
Q9Y2M5	ENSG00000076321.11
Q9UJP4	ENSG00000162413.17
